,Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
0,Ireland,Premier Division ,2012,02/03/2012,19:05,Drogheda,Shamrock Rovers,1,2,A,11.63,5.16,1.34,12.25,5.23,1.36,9.8,4.74,1.3
1,Ireland,Premier Division ,2012,02/03/2012,19:45,Derry City,Bohemians,1,0,H,1.86,3.39,5.17,1.86,3.75,6.0,1.73,3.27,5.1
2,Ireland,Premier Division ,2012,02/03/2012,19:45,St. Patricks,Bray,1,0,H,1.54,4.21,7.34,1.54,4.5,9.0,1.44,4.06,6.92
3,Ireland,Premier Division ,2012,02/03/2012,19:45,UC Dublin,Cork City,1,0,H,4.47,3.65,1.89,4.47,3.65,1.95,4.02,3.31,1.87
4,Ireland,Premier Division ,2012,02/03/2012,20:00,Monaghan,Dundalk,0,0,D,2.78,3.1,2.92,3.4,3.25,2.92,2.9,3.05,2.44
5,Ireland,Premier Division ,2012,02/03/2012,20:00,Shelbourne,Sligo Rovers,1,1,D,4.01,3.26,2.13,4.01,3.27,2.25,3.32,3.16,2.14
6,Ireland,Premier Division ,2012,09/03/2012,19:45,Bohemians,Shelbourne,0,2,A,2.88,3.05,2.86,2.88,3.15,2.93,2.55,3.01,2.75
7,Ireland,Premier Division ,2012,09/03/2012,19:45,Bray,Derry City,0,4,A,8.24,4.15,1.51,8.24,4.15,1.6,6.25,3.7,1.52
8,Ireland,Premier Division ,2012,09/03/2012,19:45,Cork City,Drogheda,2,3,A,1.75,3.51,5.88,1.76,3.8,5.88,1.69,3.41,4.96
9,Ireland,Premier Division ,2012,09/03/2012,19:45,Dundalk,St. Patricks,0,2,A,4.74,3.35,1.94,4.74,3.4,2.0,3.95,3.22,1.91
10,Ireland,Premier Division ,2012,09/03/2012,20:00,Shamrock Rovers,Monaghan,3,1,H,1.27,5.74,14.65,1.27,6.0,15.0,1.23,5.43,11.69
11,Ireland,Premier Division ,2012,10/03/2012,19:45,Sligo Rovers,UC Dublin,2,1,H,1.33,5.3,11.12,1.34,5.5,12.0,1.3,4.88,9.37
12,Ireland,Premier Division ,2012,16/03/2012,19:05,Cork City,Shamrock Rovers,1,1,D,6.04,3.76,1.68,6.04,3.85,1.7,5.14,3.56,1.64
13,Ireland,Premier Division ,2012,16/03/2012,19:45,Drogheda,Dundalk,0,0,D,2.2,3.18,3.87,2.2,3.3,4.09,2.05,3.16,3.57
14,Ireland,Premier Division ,2012,16/03/2012,19:45,Sligo Rovers,Bohemians,1,0,H,1.57,4.09,6.96,1.57,4.33,7.4,1.49,3.73,6.63
15,Ireland,Premier Division ,2012,16/03/2012,19:45,St. Patricks,Monaghan,1,1,D,1.42,4.5,9.93,1.45,4.59,10.0,1.35,4.29,8.93
16,Ireland,Premier Division ,2012,16/03/2012,19:45,UC Dublin,Bray,2,3,A,2.21,3.6,3.39,2.21,3.6,4.2,2.03,3.24,3.56
17,Ireland,Premier Division ,2012,16/03/2012,20:00,Shelbourne,Derry City,1,0,H,3.41,3.15,2.41,3.5,3.25,2.47,3.13,3.09,2.28
18,Ireland,Premier Division ,2012,23/03/2012,19:45,Bray,Drogheda,2,4,A,3.0,3.31,2.56,3.0,3.4,2.6,2.79,3.15,2.45
19,Ireland,Premier Division ,2012,23/03/2012,19:45,Derry City,Cork City,2,0,H,1.88,3.42,4.93,1.95,3.42,4.93,1.85,3.23,4.26
20,Ireland,Premier Division ,2012,23/03/2012,19:45,Dundalk,UC Dublin,2,1,H,2.37,3.24,3.4,2.67,3.24,3.4,2.41,3.08,2.91
21,Ireland,Premier Division ,2012,23/03/2012,20:00,Monaghan,Sligo Rovers,0,1,A,8.41,4.04,1.52,8.41,4.04,1.62,6.39,3.66,1.54
22,Ireland,Premier Division ,2012,23/03/2012,20:10,Shamrock Rovers,Shelbourne,4,0,H,1.84,3.51,5.07,1.92,3.6,6.0,1.72,3.4,4.85
23,Ireland,Premier Division ,2012,25/03/2012,16:00,Bohemians,St. Patricks,0,0,D,4.59,3.11,2.04,4.59,3.25,2.14,3.81,3.08,2.01
24,Ireland,Premier Division ,2012,30/03/2012,19:05,Shamrock Rovers,Bohemians,2,0,H,1.43,4.42,9.93,1.43,4.59,11.0,1.37,4.15,8.63
25,Ireland,Premier Division ,2012,30/03/2012,19:45,Cork City,Bray,1,1,D,1.64,3.98,6.14,1.64,4.01,7.0,1.56,3.71,5.73
26,Ireland,Premier Division ,2012,30/03/2012,19:45,Drogheda,Derry City,2,0,H,5.01,3.92,1.75,5.01,3.92,2.04,4.21,3.52,1.78
27,Ireland,Premier Division ,2012,30/03/2012,19:45,UC Dublin,Monaghan,3,2,H,2.52,3.2,3.16,2.65,3.4,3.75,2.21,3.14,3.28
28,Ireland,Premier Division ,2012,30/03/2012,20:00,Shelbourne,St. Patricks,1,1,D,3.43,3.28,2.33,3.52,3.28,2.6,2.99,3.08,2.36
29,Ireland,Premier Division ,2012,31/03/2012,19:45,Sligo Rovers,Dundalk,3,0,H,1.27,5.55,16.89,1.32,6.0,16.89,1.24,5.28,11.67
30,Ireland,Premier Division ,2012,06/04/2012,19:05,St. Patricks,Shamrock Rovers,5,1,H,3.31,3.38,2.31,3.45,3.4,2.31,3.23,3.15,2.18
31,Ireland,Premier Division ,2012,06/04/2012,19:45,Bohemians,Cork City,1,0,H,2.64,3.08,3.11,2.75,3.1,3.13,2.57,3.0,2.76
32,Ireland,Premier Division ,2012,06/04/2012,19:45,Bray,Sligo Rovers,1,2,A,10.7,4.68,1.39,10.7,4.68,1.41,8.32,4.17,1.38
33,Ireland,Premier Division ,2012,06/04/2012,19:45,Derry City,UC Dublin,0,0,D,1.44,4.55,9.08,1.47,4.55,9.08,1.43,4.0,7.39
34,Ireland,Premier Division ,2012,06/04/2012,19:45,Dundalk,Shelbourne,0,0,D,4.19,3.37,2.02,4.19,3.37,2.1,3.61,3.2,2.03
35,Ireland,Premier Division ,2012,06/04/2012,20:00,Monaghan,Drogheda,0,1,A,3.02,3.11,2.68,3.6,3.3,2.68,3.01,3.13,2.32
36,Ireland,Premier Division ,2012,13/04/2012,19:05,Sligo Rovers,Derry City,1,1,D,1.78,3.39,5.92,1.78,3.65,5.92,1.69,3.45,4.99
37,Ireland,Premier Division ,2012,13/04/2012,19:45,Cork City,Monaghan,6,0,H,1.83,3.5,5.18,1.88,3.5,5.18,1.78,3.32,4.52
38,Ireland,Premier Division ,2012,13/04/2012,19:45,Drogheda,St. Patricks,0,0,D,4.76,3.42,1.92,4.76,3.55,2.1,3.71,3.28,1.96
39,Ireland,Premier Division ,2012,13/04/2012,19:45,UC Dublin,Bohemians,1,2,A,3.78,3.13,2.27,3.78,3.25,2.5,3.16,3.07,2.25
40,Ireland,Premier Division ,2012,13/04/2012,20:00,Shamrock Rovers,Dundalk,6,0,H,1.31,5.51,12.24,1.32,5.51,12.7,1.26,5.05,10.67
41,Ireland,Premier Division ,2012,13/04/2012,20:00,Shelbourne,Bray,2,1,H,1.63,3.9,6.38,1.64,3.9,6.5,1.58,3.57,5.8
42,Ireland,Premier Division ,2012,20/04/2012,19:45,Bohemians,Monaghan,1,2,A,1.78,3.61,5.41,1.78,3.7,5.75,1.66,3.5,5.11
43,Ireland,Premier Division ,2012,20/04/2012,19:45,Bray,Shamrock Rovers,2,2,D,8.82,4.71,1.43,9.01,4.72,1.43,7.67,4.27,1.39
44,Ireland,Premier Division ,2012,20/04/2012,19:45,Cork City,Sligo Rovers,0,1,A,4.76,3.63,1.85,4.76,3.63,1.89,4.33,3.37,1.79
45,Ireland,Premier Division ,2012,20/04/2012,19:45,Derry City,Dundalk,1,2,A,1.51,4.28,7.65,1.51,4.33,8.71,1.43,3.98,7.46
46,Ireland,Premier Division ,2012,20/04/2012,19:45,Drogheda,Shelbourne,3,1,H,3.13,3.22,2.52,3.13,3.25,2.65,2.8,3.07,2.5
47,Ireland,Premier Division ,2012,20/04/2012,19:45,St. Patricks,UC Dublin,2,0,H,1.42,4.54,9.92,1.44,4.57,9.92,1.4,4.22,7.58
48,Ireland,Premier Division ,2012,27/04/2012,19:05,Sligo Rovers,St. Patricks,1,1,D,2.19,3.12,4.04,2.25,3.25,4.04,2.07,3.04,3.67
49,Ireland,Premier Division ,2012,27/04/2012,19:45,Dundalk,Bohemians,0,2,A,3.59,3.15,2.33,3.6,3.16,2.4,3.18,3.01,2.29
50,Ireland,Premier Division ,2012,27/04/2012,19:45,UC Dublin,Drogheda,1,1,D,3.52,3.38,2.24,4.09,3.5,2.29,3.4,3.29,2.07
51,Ireland,Premier Division ,2012,27/04/2012,20:00,Monaghan,Bray,0,1,A,2.65,3.29,2.91,2.75,3.29,2.91,2.49,3.14,2.74
52,Ireland,Premier Division ,2012,27/04/2012,20:00,Shamrock Rovers,Derry City,1,1,D,1.76,3.65,5.51,1.8,3.66,5.55,1.7,3.42,4.98
53,Ireland,Premier Division ,2012,27/04/2012,20:00,Shelbourne,Cork City,1,2,A,2.31,3.24,3.49,2.36,3.25,3.61,2.17,3.12,3.3
54,Ireland,Premier Division ,2012,04/05/2012,19:05,Derry City,St. Patricks,0,2,A,3.13,3.09,2.61,3.21,3.1,2.67,2.95,3.04,2.39
55,Ireland,Premier Division ,2012,04/05/2012,19:45,Bray,Bohemians,2,1,H,3.35,3.1,2.48,3.35,3.2,2.6,2.93,3.1,2.38
56,Ireland,Premier Division ,2012,04/05/2012,19:45,Cork City,Dundalk,3,2,H,1.5,4.24,8.13,1.55,4.3,8.19,1.5,3.89,6.39
57,Ireland,Premier Division ,2012,04/05/2012,19:45,Drogheda,Sligo Rovers,1,3,A,5.05,3.56,1.83,5.05,3.56,1.92,4.23,3.32,1.84
58,Ireland,Premier Division ,2012,04/05/2012,20:00,Shamrock Rovers,UC Dublin,2,2,D,1.27,6.02,13.03,1.3,6.04,14.65,1.26,5.17,10.41
59,Ireland,Premier Division ,2012,04/05/2012,20:00,Shelbourne,Monaghan,2,1,H,1.71,3.81,5.65,1.74,3.81,6.0,1.63,3.56,5.31
60,Ireland,Premier Division ,2012,11/05/2012,19:45,Bohemians,Drogheda,1,1,D,2.6,3.28,2.97,2.6,3.33,3.25,2.41,3.13,2.86
61,Ireland,Premier Division ,2012,11/05/2012,19:45,Dundalk,Bray,0,2,A,3.08,3.38,2.47,3.11,3.38,2.5,2.83,3.17,2.4
62,Ireland,Premier Division ,2012,11/05/2012,19:45,St. Patricks,Cork City,0,0,D,1.61,3.91,6.7,1.67,3.91,6.7,1.6,3.59,5.59
63,Ireland,Premier Division ,2012,11/05/2012,19:45,UC Dublin,Shelbourne,0,2,A,3.33,3.37,2.34,3.34,3.38,2.4,3.12,3.22,2.2
64,Ireland,Premier Division ,2012,12/05/2012,13:45,Sligo Rovers,Shamrock Rovers,3,0,H,2.38,3.36,3.2,2.4,3.47,3.2,2.3,3.16,2.98
65,Ireland,Premier Division ,2012,15/05/2012,20:00,Monaghan,Derry City,1,4,A,6.15,3.75,1.67,6.2,3.84,1.75,4.97,3.57,1.66
66,Ireland,Premier Division ,2012,18/05/2012,19:05,Shamrock Rovers,Drogheda,3,1,H,1.45,4.79,7.76,1.95,4.8,7.78,1.46,4.15,6.63
67,Ireland,Premier Division ,2012,18/05/2012,19:45,Bohemians,Derry City,1,2,A,3.45,3.13,2.4,3.49,3.13,2.46,3.08,3.03,2.33
68,Ireland,Premier Division ,2012,18/05/2012,19:45,Bray,St. Patricks,3,3,D,6.13,3.81,1.67,6.14,3.81,1.67,5.41,3.68,1.6
69,Ireland,Premier Division ,2012,18/05/2012,19:45,Cork City,UC Dublin,4,2,H,1.64,4.07,5.9,1.68,4.07,6.0,1.59,3.77,5.31
70,Ireland,Premier Division ,2012,18/05/2012,19:45,Dundalk,Monaghan,1,2,A,2.48,3.35,3.09,2.54,3.35,3.15,2.41,3.1,2.86
71,Ireland,Premier Division ,2012,18/05/2012,19:45,Sligo Rovers,Shelbourne,3,0,H,1.5,4.11,8.86,1.53,4.25,8.86,1.48,3.9,6.78
72,Ireland,Premier Division ,2012,21/05/2012,19:45,Derry City,Bray,3,2,H,1.68,3.61,6.64,1.68,3.85,6.64,1.58,3.63,5.69
73,Ireland,Premier Division ,2012,21/05/2012,19:45,Drogheda,Cork City,1,1,D,2.69,3.34,2.82,2.69,3.48,2.94,2.53,3.17,2.68
74,Ireland,Premier Division ,2012,21/05/2012,19:45,St. Patricks,Dundalk,1,2,A,1.26,6.06,14.65,1.28,6.06,15.0,1.24,5.34,11.44
75,Ireland,Premier Division ,2012,21/05/2012,19:45,UC Dublin,Sligo Rovers,1,0,H,10.19,4.96,1.38,10.19,5.13,1.45,8.38,4.64,1.34
76,Ireland,Premier Division ,2012,21/05/2012,20:00,Monaghan,Shamrock Rovers,0,0,D,10.53,5.18,1.36,10.53,5.4,1.43,8.77,4.67,1.33
77,Ireland,Premier Division ,2012,21/05/2012,20:00,Shelbourne,Bohemians,1,2,A,2.25,3.25,3.63,2.25,3.25,4.17,2.12,3.12,3.45
78,Ireland,Premier Division ,2012,01/06/2012,19:05,Dundalk,Drogheda,1,2,A,3.24,3.31,2.41,3.5,3.45,2.44,3.16,3.2,2.2
79,Ireland,Premier Division ,2012,01/06/2012,19:45,Bohemians,Sligo Rovers,0,0,D,4.69,3.31,1.96,4.87,3.4,2.0,4.32,3.23,1.84
80,Ireland,Premier Division ,2012,01/06/2012,19:45,Bray,UC Dublin,3,1,H,2.35,3.41,3.24,2.39,3.61,3.5,2.18,3.26,3.16
81,Ireland,Premier Division ,2012,01/06/2012,19:45,Derry City,Shelbourne,0,1,A,1.82,3.48,5.31,1.85,3.63,5.31,1.77,3.42,4.45
82,Ireland,Premier Division ,2012,01/06/2012,20:00,Monaghan,St. Patricks,0,4,A,7.91,4.34,1.5,7.91,4.5,1.53,6.81,3.9,1.47
83,Ireland,Premier Division ,2012,01/06/2012,20:00,Shamrock Rovers,Cork City,1,1,D,1.5,4.28,8.01,1.53,4.47,8.01,1.49,3.88,6.53
84,Ireland,Premier Division ,2012,21/06/2012,20:00,Shelbourne,Shamrock Rovers,2,3,A,4.8,3.67,1.85,4.8,3.8,1.9,4.21,3.39,1.82
85,Ireland,Premier Division ,2012,22/06/2012,19:45,Cork City,Derry City,2,2,D,2.87,3.08,2.87,2.97,3.3,2.87,2.68,3.06,2.59
86,Ireland,Premier Division ,2012,22/06/2012,19:45,Drogheda,Bray,3,1,H,2.62,3.29,2.99,2.62,3.75,3.4,2.29,3.21,3.0
87,Ireland,Premier Division ,2012,22/06/2012,19:45,St. Patricks,Bohemians,2,1,H,1.75,3.56,5.96,1.75,3.75,6.0,1.65,3.41,5.42
88,Ireland,Premier Division ,2012,22/06/2012,19:45,UC Dublin,Dundalk,1,1,D,2.15,3.56,3.63,2.15,3.9,3.63,2.08,3.36,3.25
89,Ireland,Premier Division ,2012,29/06/2012,19:45,Bohemians,Shamrock Rovers,4,0,H,5.43,3.66,1.76,5.43,3.75,1.83,4.5,3.41,1.76
